GO_terms	freq
GO:0016625	2
GO:0016627	2
GO:0016639	1
GO:0016651	4
GO:0016671	1
GO:0016740	10
GO:0016743	3
GO:0016744	1
GO:0016746	4
GO:0016747	5
GO:0016757	10
GO:0016758	1
GO:0016763	2
GO:0016765	7
GO:0016772	6
GO:0016773	1
GO:0016774	1
GO:0016776	3
GO:0016779	6
GO:0016780	4
GO:0016783	1
GO:0016787	17
GO:0016788	3
GO:0016790	1
GO:0016791	3
GO:0016798	1
GO:0016810	4
GO:0016811	3
GO:0016818	1
GO:0016829	7
GO:0016831	3
GO:0016832	1
GO:0016836	3
GO:0016838	1
GO:0016846	1
GO:0016853	4
GO:0016855	1
GO:0016857	1
GO:0016866	1
GO:0016868	2
GO:0016874	4
GO:0016879	1
GO:0016881	5
GO:0016884	1
GO:0016887	44
GO:0016891	1
GO:0016903	2
GO:0016987	3
GO:0017004	2
GO:0017038	4
GO:0017057	1
GO:0017089	1
GO:0017136	1
GO:0017148	2
GO:0017150	1
GO:0017168	2
GO:0018206	1
GO:0018339	1
GO:0018364	1
GO:0018545	1
GO:0018580	1
GO:0019104	1
GO:0019134	1
GO:0019205	1
GO:0019239	1
GO:0019264	1
GO:0019277	1
GO:0019284	1
GO:0019288	3
GO:0019294	1
GO:0019316	1
GO:0019344	1
GO:0019346	1
GO:0019427	1
GO:0019430	1
GO:0019509	1
GO:0019516	1
GO:0019534	1
GO:0019538	1
GO:0019547	1
GO:0019627	1
GO:0019629	1
GO:0019631	1
GO:0019632	1
GO:0019673	1
GO:0019674	1
GO:0019693	1
GO:0019740	1
GO:0019829	3
GO:0019843	7
GO:0019856	2
GO:0019867	4
GO:0019877	1
GO:0020037	11
GO:0022625	20
GO:0022627	10
GO:0022857	26
GO:0022904	4
GO:0030001	2
GO:0030091	1
GO:0030145	4
GO:0030163	3
GO:0030170	10
GO:0030254	1
GO:0030255	1
GO:0030257	1
GO:0030259	1
GO:0030288	12
GO:0030313	2
GO:0030388	2
GO:0030488	4
GO:0030527	1
GO:0030604	1
GO:0030632	1
GO:0030677	1
GO:0030694	2
GO:0030956	1
GO:0030964	2
GO:0030976	2
GO:0030983	1
GO:0031071	1
GO:0031072	1
GO:0031119	1
GO:0031167	2
GO:0031177	1
