GO_terms	namespace	freq
GO:0006813	biological_process	1
GO:0006814	biological_process	3
GO:0006817	biological_process	1
GO:0006824	biological_process	1
GO:0006825	biological_process	1
GO:0006826	biological_process	4
GO:0006865	biological_process	8
GO:0006879	biological_process	2
GO:0006880	biological_process	1
GO:0006885	biological_process	1
GO:0006886	biological_process	4
GO:0006935	biological_process	10
GO:0006974	biological_process	2
GO:0006979	biological_process	6
GO:0007059	biological_process	1
GO:0007155	biological_process	1
GO:0007165	biological_process	13
GO:0008033	biological_process	9
GO:0008047	molecular_function	1
GO:0008080	molecular_function	1
GO:0008081	molecular_function	1
GO:0008094	molecular_function	1
GO:0008097	molecular_function	2
GO:0008107	molecular_function	1
GO:0008113	molecular_function	1
GO:0008134	molecular_function	1
GO:0008137	molecular_function	7
GO:0008146	molecular_function	1
GO:0008168	molecular_function	31
GO:0008170	molecular_function	18
GO:0008173	molecular_function	2
GO:0008176	molecular_function	1
GO:0008186	molecular_function	1
GO:0008198	molecular_function	2
GO:0008199	molecular_function	2
GO:0008233	molecular_function	5
GO:0008236	molecular_function	2
GO:0008237	molecular_function	1
GO:0008252	molecular_function	1
GO:0008253	molecular_function	1
GO:0008254	molecular_function	1
GO:0008270	molecular_function	16
GO:0008276	molecular_function	2
GO:0008295	biological_process	1
GO:0008299	biological_process	5
GO:0008311	molecular_function	1
GO:0008312	molecular_function	1
GO:0008320	molecular_function	3
GO:0008324	molecular_function	3
GO:0008360	biological_process	4
GO:0008379	molecular_function	3
GO:0008381	molecular_function	1
GO:0008408	molecular_function	4
GO:0008409	molecular_function	3
GO:0008410	molecular_function	2
GO:0008444	molecular_function	1
GO:0008446	molecular_function	1
GO:0008479	molecular_function	1
GO:0008483	molecular_function	3
GO:0008531	molecular_function	1
GO:0008610	biological_process	3
GO:0008615	biological_process	1
GO:0008616	biological_process	3
GO:0008641	molecular_function	2
GO:0008649	molecular_function	1
GO:0008652	biological_process	2
GO:0008654	biological_process	6
GO:0008658	molecular_function	3
GO:0008661	molecular_function	1
GO:0008666	molecular_function	1
GO:0008676	molecular_function	1
GO:0008685	molecular_function	1
GO:0008686	molecular_function	2
GO:0008690	molecular_function	1
GO:0008694	molecular_function	1
GO:0008710	molecular_function	1
GO:0008712	molecular_function	1
GO:0008713	molecular_function	4
GO:0008716	molecular_function	1
GO:0008745	molecular_function	1
GO:0008757	molecular_function	1
GO:0008758	molecular_function	2
GO:0008759	molecular_function	1
GO:0008760	molecular_function	1
GO:0008762	molecular_function	1
GO:0008763	molecular_function	1
GO:0008764	molecular_function	1
GO:0008776	molecular_function	1
GO:0008780	molecular_function	1
GO:0008781	molecular_function	2
GO:0008782	molecular_function	1
GO:0008784	molecular_function	1
GO:0008792	molecular_function	1
GO:0008795	molecular_function	1
GO:0008797	molecular_function	1
GO:0008821	molecular_function	1
GO:0008829	molecular_function	1
GO:0008834	molecular_function	1
GO:0008836	molecular_function	2
GO:0008837	molecular_function	1
GO:0008839	molecular_function	1
GO:0008840	molecular_function	1
GO:0008841	molecular_function	1
GO:0008855	molecular_function	2
GO:0008864	molecular_function	1
GO:0008881	molecular_function	1
GO:0008883	molecular_function	1
GO:0008897	molecular_function	1
GO:0008901	molecular_function	2
GO:0008902	molecular_function	1
GO:0008915	molecular_function	1
GO:0008920	molecular_function	1
GO:0008924	molecular_function	1
GO:0008930	molecular_function	1
GO:0008955	molecular_function	1
GO:0008961	molecular_function	1
GO:0008962	molecular_function	1
GO:0008963	molecular_function	1
GO:0008966	molecular_function	1
GO:0008967	molecular_function	1
GO:0008968	molecular_function	1
GO:0008972	molecular_function	1
GO:0008973	molecular_function	1
GO:0008976	molecular_function	1
GO:0008977	molecular_function	1
GO:0008986	molecular_function	1
GO:0008987	molecular_function	1
GO:0009001	molecular_function	1
GO:0009002	molecular_function	1
GO:0009007	molecular_function	9
GO:0009014	molecular_function	1
GO:0009029	molecular_function	1
GO:0009035	molecular_function	1
GO:0009036	molecular_function	1
GO:0009039	molecular_function	1
GO:0009041	molecular_function	1
GO:0009051	biological_process	1
GO:0009052	biological_process	2
GO:0009055	molecular_function	11
GO:0009058	biological_process	20
GO:0009060	biological_process	6
GO:0009061	biological_process	2
GO:0009073	biological_process	4
GO:0009081	biological_process	1
GO:0009082	biological_process	1
GO:0009086	biological_process	1
GO:0009088	biological_process	2
GO:0009089	biological_process	8
GO:0009090	biological_process	1
GO:0009097	biological_process	2
GO:0009099	biological_process	1
GO:0009102	biological_process	4
GO:0009103	biological_process	2
GO:0009113	biological_process	1
GO:0009116	biological_process	3
GO:0009117	biological_process	1
GO:0009123	biological_process	1
GO:0009132	biological_process	1
GO:0009152	biological_process	1
GO:0009156	biological_process	1
GO:0009164	biological_process	1
GO:0009165	biological_process	1
GO:0009166	biological_process	1
GO:0009220	biological_process	1
GO:0009228	biological_process	3
GO:0009229	biological_process	1
GO:0009231	biological_process	5
GO:0009234	biological_process	4
GO:0009244	biological_process	8
GO:0009245	biological_process	8
GO:0009252	biological_process	7
GO:0009253	biological_process	1
GO:0009255	biological_process	1
GO:0009263	biological_process	2
GO:0009267	biological_process	1
GO:0009279	cellular_component	9
GO:0009288	cellular_component	10
GO:0009294	biological_process	1
GO:0009295	cellular_component	1
GO:0009298	biological_process	1
GO:0009306	biological_process	6
GO:0009307	biological_process	10
GO:0009314	biological_process	1
GO:0009317	cellular_component	3
GO:0009318	cellular_component	2
GO:0009328	cellular_component	1
GO:0009330	cellular_component	1
GO:0009349	cellular_component	1
GO:0009358	cellular_component	1
GO:0009360	cellular_component	3
GO:0009368	cellular_component	1
GO:0009372	biological_process	1
GO:0009375	cellular_component	1
GO:0009376	cellular_component	3
GO:0009378	molecular_function	2
GO:0009379	cellular_component	1
GO:0009380	cellular_component	2
GO:0009381	molecular_function	1
GO:0009396	biological_process	6
GO:0009398	biological_process	1
GO:0009403	biological_process	1
GO:0009408	biological_process	3
GO:0009421	cellular_component	1
GO:0009423	biological_process	3
GO:0009424	cellular_component	2
GO:0009425	cellular_component	4
GO:0009426	cellular_component	1
GO:0009427	cellular_component	1
GO:0009428	cellular_component	1
GO:0009431	cellular_component	1
GO:0009432	biological_process	1
GO:0009435	biological_process	4
GO:0009446	biological_process	1
GO:0009451	biological_process	6
GO:0009697	biological_process	1
GO:0009898	cellular_component	4
GO:0009977	molecular_function	1
GO:0009982	molecular_function	6
GO:0010033	biological_process	1
GO:0010045	biological_process	1
GO:0010133	biological_process	1
GO:0010181	molecular_function	3
GO:0010216	biological_process	1
GO:0010424	biological_process	1
GO:0015031	biological_process	6
GO:0015035	molecular_function	3
GO:0015074	biological_process	1
GO:0015078	molecular_function	4
GO:0015086	molecular_function	1
GO:0015087	molecular_function	1
GO:0015093	molecular_function	1
GO:0015095	molecular_function	1
GO:0015099	molecular_function	2
GO:0015129	molecular_function	2
GO:0015171	molecular_function	2
GO:0015193	molecular_function	1
GO:0015205	molecular_function	1
GO:0015293	molecular_function	1
GO:0015295	molecular_function	2
GO:0015297	molecular_function	4
GO:0015344	molecular_function	3
GO:0015385	molecular_function	1
GO:0015421	molecular_function	1
GO:0015424	molecular_function	1
GO:0015450	molecular_function	2
GO:0015483	molecular_function	1
GO:0015501	molecular_function	1
GO:0015556	molecular_function	1
GO:0015562	molecular_function	3
GO:0015648	molecular_function	1
GO:0015666	molecular_function	1
GO:0015667	molecular_function	3
GO:0015668	molecular_function	1
GO:0015693	biological_process	1
GO:0015727	biological_process	2
GO:0015740	biological_process	1
GO:0015757	biological_process	1
GO:0015813	biological_process	1
GO:0015824	biological_process	1
GO:0015833	biological_process	5
GO:0015891	biological_process	1
GO:0015914	biological_process	1
GO:0015920	biological_process	4
GO:0015934	cellular_component	10
GO:0015935	cellular_component	13
GO:0015937	biological_process	3
GO:0015940	biological_process	3
GO:0015941	biological_process	1
GO:0015949	biological_process	1
GO:0015969	biological_process	1
GO:0015976	biological_process	1
GO:0015986	biological_process	9
GO:0015990	biological_process	4
GO:0016020	cellular_component	129
GO:0016051	biological_process	1
GO:0016094	biological_process	1
GO:0016114	biological_process	4
GO:0016149	molecular_function	2
GO:0016151	molecular_function	10
GO:0016208	molecular_function	2
GO:0016209	molecular_function	3
GO:0016226	biological_process	3
GO:0016301	molecular_function	3
GO:0016310	biological_process	4
GO:0016311	biological_process	2
GO:0016407	molecular_function	1
GO:0016410	molecular_function	2
GO:0016462	molecular_function	1
GO:0016485	biological_process	1
GO:0016491	molecular_function	29
GO:0016597	molecular_function	1
GO:0016614	molecular_function	1
GO:0016616	molecular_function	6
GO:0016620	molecular_function	4
GO:0016625	molecular_function	2
GO:0016627	molecular_function	2
GO:0016639	molecular_function	1
GO:0016651	molecular_function	4
GO:0016671	molecular_function	1
GO:0016684	molecular_function	1
GO:0016722	molecular_function	1
GO:0016740	molecular_function	13
GO:0016743	molecular_function	3
GO:0016744	molecular_function	1
GO:0016746	molecular_function	5
GO:0016747	molecular_function	6
GO:0016757	molecular_function	10
GO:0016758	molecular_function	1
GO:0016763	molecular_function	3
GO:0016765	molecular_function	7
GO:0016772	molecular_function	7
GO:0016773	molecular_function	1
GO:0016774	molecular_function	1
GO:0016776	molecular_function	3
GO:0016779	molecular_function	6
GO:0016780	molecular_function	4
GO:0016783	molecular_function	1
GO:0016787	molecular_function	18
GO:0016788	molecular_function	4
GO:0016790	molecular_function	1
GO:0016791	molecular_function	3
GO:0016798	molecular_function	1
GO:0016799	molecular_function	1
GO:0016810	molecular_function	4
GO:0016811	molecular_function	3
GO:0016818	molecular_function	1
GO:0016829	molecular_function	8
GO:0016831	molecular_function	3
GO:0016832	molecular_function	1
GO:0016836	molecular_function	3
GO:0016838	molecular_function	1
GO:0016846	molecular_function	1
GO:0016853	molecular_function	4
GO:0016855	molecular_function	1
GO:0016857	molecular_function	1
GO:0016866	molecular_function	1
GO:0016868	molecular_function	2
GO:0016874	molecular_function	5
GO:0016879	molecular_function	1
GO:0016881	molecular_function	5
GO:0016884	molecular_function	1
GO:0016887	molecular_function	45
GO:0016891	molecular_function	1
GO:0016903	molecular_function	2
GO:0016987	molecular_function	3
GO:0017004	biological_process	2
GO:0017038	biological_process	4
GO:0017057	molecular_function	1
GO:0017089	molecular_function	1
GO:0017136	molecular_function	1
GO:0017148	biological_process	2
GO:0017150	molecular_function	1
GO:0017168	molecular_function	2
GO:0018160	biological_process	1
GO:0018206	biological_process	1
GO:0018339	biological_process	1
GO:0018364	biological_process	1
GO:0018545	molecular_function	1
GO:0018580	molecular_function	1
GO:0019104	molecular_function	2
GO:0019134	molecular_function	1
GO:0019205	molecular_function	1
GO:0019239	molecular_function	1
GO:0019264	biological_process	1
GO:0019277	biological_process	1
GO:0019284	biological_process	1
GO:0019288	biological_process	3
GO:0019294	biological_process	1
GO:0019316	biological_process	1
GO:0019344	biological_process	1
GO:0019346	biological_process	1
GO:0019427	biological_process	1
GO:0019430	biological_process	1
GO:0019509	biological_process	1
GO:0019516	biological_process	1
GO:0019534	molecular_function	1
GO:0019538	biological_process	1
GO:0019547	biological_process	1
GO:0019627	biological_process	1
GO:0019629	biological_process	1
GO:0019631	biological_process	1
GO:0019632	biological_process	1
GO:0019673	biological_process	1
GO:0019674	biological_process	1
GO:0019693	biological_process	1
GO:0019740	biological_process	1
GO:0019829	molecular_function	3
GO:0019843	molecular_function	7
GO:0019856	biological_process	2
GO:0019867	cellular_component	4
GO:0019877	biological_process	1
GO:0020037	molecular_function	11
GO:0022625	cellular_component	20
GO:0022627	cellular_component	10
GO:0022857	molecular_function	27
GO:0022904	biological_process	4
GO:0030001	biological_process	2
GO:0030091	biological_process	1
GO:0030145	molecular_function	4
GO:0030163	biological_process	3
GO:0030170	molecular_function	12
GO:0030254	biological_process	1
GO:0030255	biological_process	1
GO:0030257	cellular_component	1
GO:0030259	biological_process	1
GO:0030272	molecular_function	1
GO:0030288	cellular_component	12
GO:0030313	cellular_component	2
GO:0030388	biological_process	2
GO:0030488	biological_process	4
GO:0030527	molecular_function	1
GO:0030604	molecular_function	1
GO:0030632	biological_process	1
GO:0030677	cellular_component	1
GO:0030694	cellular_component	2
GO:0030956	cellular_component	1
GO:0030964	cellular_component	2
GO:0030976	molecular_function	2
GO:0030983	molecular_function	1
GO:0031071	molecular_function	1
GO:0031072	molecular_function	1
GO:0031119	biological_process	1
GO:0031167	biological_process	2
GO:0031177	molecular_function	1
GO:0031224	cellular_component	1
GO:0031230	cellular_component	3
GO:0031402	molecular_function	1
GO:0031460	biological_process	1
GO:0031522	cellular_component	2
GO:0031554	biological_process	1
GO:0031564	biological_process	1
GO:0031669	biological_process	1
GO:0031992	molecular_function	1
GO:0032049	biological_process	1
GO:0032153	cellular_component	4
GO:0032259	biological_process	18
GO:0032299	cellular_component	1
GO:0032357	molecular_function	1
GO:0032508	biological_process	1
GO:0032543	biological_process	1
GO:0032549	molecular_function	1
GO:0032559	molecular_function	1
GO:0032784	biological_process	2
GO:0032790	biological_process	2
GO:0032955	biological_process	1
GO:0032977	molecular_function	1
GO:0032993	cellular_component	3
GO:0033014	biological_process	5
GO:0033177	cellular_component	1
GO:0033202	cellular_component	1
GO:0033214	biological_process	1
GO:0033281	cellular_component	1
GO:0033388	biological_process	3
GO:0033396	biological_process	1
GO:0033499	biological_process	1
GO:0033554	biological_process	1
GO:0033739	molecular_function	1
GO:0033743	molecular_function	1
GO:0033785	molecular_function	1
GO:0033786	molecular_function	1
GO:0033856	molecular_function	1
GO:0033862	molecular_function	1
GO:0034039	molecular_function	1
GO:0034040	molecular_function	2
GO:0034213	biological_process	1
GO:0034257	molecular_function	1
GO:0034258	biological_process	1
GO:0034353	molecular_function	1
GO:0034414	biological_process	1
GO:0034599	biological_process	1
GO:0034605	biological_process	2
GO:0034628	biological_process	1
GO:0035243	molecular_function	1
GO:0035435	biological_process	1
GO:0035444	biological_process	1
GO:0035485	molecular_function	1
GO:0035550	cellular_component	1
GO:0035596	molecular_function	3
GO:0035598	molecular_function	1
GO:0035599	molecular_function	1
GO:0035600	biological_process	2
GO:0035999	biological_process	3
GO:0036009	molecular_function	1
GO:0036054	molecular_function	1
GO:0036055	molecular_function	1
GO:0036211	biological_process	2
GO:0036265	biological_process	1
GO:0036361	molecular_function	1
GO:0036374	molecular_function	1
GO:0036424	molecular_function	1
GO:0036503	biological_process	1
GO:0042026	biological_process	3
GO:0042132	molecular_function	1
GO:0042158	biological_process	2
GO:0042274	biological_process	2
GO:0042286	molecular_function	1
GO:0042542	biological_process	2
GO:0042558	biological_process	1
GO:0042586	molecular_function	1
GO:0042597	cellular_component	3
GO:0042626	molecular_function	1
GO:0042744	biological_process	3
GO:0042773	biological_process	4
GO:0042777	biological_process	1
GO:0042781	molecular_function	1
GO:0042802	molecular_function	1
GO:0042803	molecular_function	1
GO:0042834	molecular_function	2
GO:0042853	biological_process	1
