GO_terms	freq	namespace
GO:0008137	6	molecular_function
GO:0008146	1	molecular_function
GO:0008168	10	molecular_function
GO:0008168	19	molecular_function
GO:0008170	12	molecular_function
GO:0008170	3	molecular_function
GO:0008173	2	molecular_function
GO:0008186	1	molecular_function
GO:0008198	2	molecular_function
GO:0008199	2	molecular_function
GO:0008233	1	molecular_function
GO:0008236	2	molecular_function
GO:0008252	1	molecular_function
GO:0008254	1	molecular_function
GO:0008270	10	molecular_function
GO:0008270	5	molecular_function
GO:0008276	2	molecular_function
GO:0008295	1	biological_process
GO:0008299	1	biological_process
GO:0008299	2	biological_process
GO:0008311	1	molecular_function
GO:0008312	1	molecular_function
GO:0008320	1	molecular_function
GO:0008324	1	molecular_function
GO:0008324	1	molecular_function
GO:0008360	2	biological_process
GO:0008379	2	molecular_function
GO:0008379	1	molecular_function
GO:0008381	1	molecular_function
GO:0008408	3	molecular_function
GO:0008408	1	molecular_function
GO:0008409	2	molecular_function
GO:0008409	1	molecular_function
GO:0008446	1	molecular_function
GO:0008479	1	molecular_function
GO:0008483	1	molecular_function
GO:0008483	1	molecular_function
GO:0008531	1	molecular_function
GO:0008610	1	biological_process
GO:0008615	1	biological_process
GO:0008616	2	biological_process
GO:0008616	1	biological_process
GO:0008641	1	molecular_function
GO:0008641	1	molecular_function
GO:0008649	1	molecular_function
GO:0008652	2	biological_process
GO:0008654	4	biological_process
GO:0008654	1	biological_process
GO:0008658	1	molecular_function
GO:0008661	1	molecular_function
GO:0008676	1	molecular_function
GO:0008685	1	molecular_function
GO:0008686	2	molecular_function
GO:0008694	1	molecular_function
GO:0008710	1	molecular_function
GO:0008712	1	molecular_function
GO:0008713	1	molecular_function
GO:0008716	1	molecular_function
GO:0008745	1	molecular_function
GO:0008758	2	molecular_function
GO:0008759	1	molecular_function
GO:0008760	1	molecular_function
GO:0008762	1	molecular_function
GO:0008764	1	molecular_function
GO:0008776	1	molecular_function
GO:0008780	1	molecular_function
GO:0008782	1	molecular_function
GO:0008784	1	molecular_function
GO:0008792	1	molecular_function
GO:0008795	1	molecular_function
GO:0008797	1	molecular_function
GO:0008821	1	molecular_function
GO:0008829	1	molecular_function
GO:0008834	1	molecular_function
GO:0008836	1	molecular_function
GO:0008839	1	molecular_function
GO:0008840	1	molecular_function
GO:0008841	1	molecular_function
GO:0008855	2	molecular_function
GO:0008881	1	molecular_function
GO:0008901	1	molecular_function
GO:0008902	1	molecular_function
GO:0008915	1	molecular_function
GO:0008920	1	molecular_function
GO:0008924	1	molecular_function
GO:0008955	1	molecular_function
GO:0008961	1	molecular_function
GO:0008963	1	molecular_function
GO:0008966	1	molecular_function
GO:0008968	1	molecular_function
GO:0008973	1	molecular_function
GO:0008977	1	molecular_function
GO:0008987	1	molecular_function
GO:0009001	1	molecular_function
GO:0009002	1	molecular_function
GO:0009007	7	molecular_function
GO:0009007	2	molecular_function
GO:0009029	1	molecular_function
GO:0009035	1	molecular_function
GO:0009036	1	molecular_function
GO:0009041	1	molecular_function
GO:0009051	1	biological_process
GO:0009052	1	biological_process
GO:0009052	1	biological_process
GO:0009055	5	molecular_function
GO:0009058	12	biological_process
GO:0009058	7	biological_process
GO:0009060	3	biological_process
GO:0009061	2	biological_process
GO:0009073	2	biological_process
GO:0009081	1	biological_process
GO:0009082	1	biological_process
GO:0009086	1	biological_process
GO:0009088	2	biological_process
GO:0009089	4	biological_process
GO:0009089	4	biological_process
GO:0009090	1	biological_process
GO:0009097	2	biological_process
GO:0009099	1	biological_process
GO:0009102	3	biological_process
GO:0009102	1	biological_process
GO:0009103	1	biological_process
GO:0009103	1	biological_process
GO:0009113	1	biological_process
GO:0009116	2	biological_process
GO:0009117	1	biological_process
GO:0009123	1	biological_process
GO:0009132	1	biological_process
GO:0009152	1	biological_process
GO:0009156	1	biological_process
GO:0009164	1	biological_process
GO:0009165	1	biological_process
GO:0009166	1	biological_process
GO:0009220	1	biological_process
GO:0009228	1	biological_process
GO:0009229	1	biological_process
GO:0009231	4	biological_process
GO:0009231	1	biological_process
GO:0009234	2	biological_process
GO:0009244	3	biological_process
GO:0009244	4	biological_process
GO:0009245	1	biological_process
GO:0009245	1	biological_process
GO:0009252	6	biological_process
GO:0009252	1	biological_process
GO:0009253	1	biological_process
GO:0009255	1	biological_process
GO:0009263	1	biological_process
GO:0009267	1	biological_process
GO:0009279	2	cellular_component
GO:0009288	6	cellular_component
GO:0009288	1	cellular_component
GO:0009295	1	cellular_component
GO:0009298	1	biological_process
GO:0009306	2	biological_process
GO:0009306	4	biological_process
GO:0009307	6	biological_process
GO:0009317	1	cellular_component
GO:0009317	2	cellular_component
GO:0009318	1	cellular_component
GO:0009328	1	cellular_component
GO:0009330	1	cellular_component
GO:0009349	1	cellular_component
GO:0009358	1	cellular_component
GO:0009360	3	cellular_component
GO:0009368	1	cellular_component
GO:0009372	1	biological_process
GO:0009375	1	cellular_component
GO:0009376	2	cellular_component
GO:0009379	1	cellular_component
GO:0009380	1	cellular_component
GO:0009381	1	molecular_function
GO:0009398	1	biological_process
GO:0009421	1	cellular_component
GO:0009423	2	biological_process
GO:0009423	1	biological_process
GO:0009424	1	cellular_component
GO:0009424	1	cellular_component
GO:0009425	3	cellular_component
GO:0009426	1	cellular_component
GO:0009427	1	cellular_component
GO:0009428	1	cellular_component
GO:0009432	1	biological_process
GO:0009435	1	biological_process
GO:0009435	3	biological_process
GO:0009451	6	biological_process
GO:0009697	1	biological_process
GO:0009898	2	cellular_component
GO:0009898	2	cellular_component
GO:0009982	6	molecular_function
GO:0010045	1	biological_process
GO:0010133	1	biological_process
GO:0010181	1	molecular_function
GO:0010216	1	biological_process
GO:0010424	1	biological_process
GO:0015031	5	biological_process
GO:0015035	3	molecular_function
GO:0015078	1	molecular_function
GO:0015086	1	molecular_function
GO:0015087	1	molecular_function
GO:0015093	1	molecular_function
GO:0015095	1	molecular_function
GO:0015099	1	molecular_function
GO:0015129	2	molecular_function
GO:0015171	1	molecular_function
GO:0015171	1	molecular_function
GO:0015193	1	molecular_function
GO:0015205	1	molecular_function
GO:0015293	1	molecular_function
GO:0015295	2	molecular_function
GO:0015297	4	molecular_function
GO:0015385	1	molecular_function
GO:0015421	1	molecular_function
GO:0015450	2	molecular_function
GO:0015501	1	molecular_function
GO:0015556	1	molecular_function
GO:0015562	1	molecular_function
GO:0015562	2	molecular_function
GO:0015648	1	molecular_function
GO:0015666	1	molecular_function
GO:0015667	1	molecular_function
GO:0015667	2	molecular_function
GO:0015668	1	molecular_function
GO:0015693	1	biological_process
GO:0015757	1	biological_process
GO:0015824	1	biological_process
GO:0015833	5	biological_process
GO:0015914	1	biological_process
GO:0015920	3	biological_process
GO:0015934	3	cellular_component
GO:0015934	7	cellular_component
GO:0015935	12	cellular_component
GO:0015937	3	biological_process
GO:0015940	2	biological_process
GO:0015941	1	biological_process
GO:0015949	1	biological_process
GO:0015969	1	biological_process
GO:0015976	1	biological_process
GO:0015986	5	biological_process
GO:0015986	4	biological_process
GO:0015990	4	biological_process
GO:0016020	39	cellular_component
GO:0016020	67	cellular_component
GO:0016021	1	
GO:0016021	3	
GO:0016051	1	biological_process
GO:0016094	1	biological_process
GO:0016114	3	biological_process
GO:0016149	2	molecular_function
GO:0016151	5	molecular_function
GO:0016151	5	molecular_function
GO:0016208	2	molecular_function
GO:0016209	2	molecular_function
GO:0016226	3	biological_process
GO:0016301	3	molecular_function
GO:0016310	1	biological_process
GO:0016310	3	biological_process
GO:0016311	1	biological_process
GO:0016407	1	molecular_function
GO:0016410	1	molecular_function
GO:0016485	1	biological_process
GO:0016491	14	molecular_function
GO:0016491	12	molecular_function
GO:0016614	1	molecular_function
GO:0016616	2	molecular_function
GO:0016625	1	molecular_function
GO:0016627	1	molecular_function
GO:0016627	1	molecular_function
GO:0016639	1	molecular_function
GO:0016651	1	molecular_function
GO:0016651	2	molecular_function
GO:0016671	1	molecular_function
GO:0016740	9	molecular_function
GO:0016743	2	molecular_function
GO:0016743	1	molecular_function
GO:0016744	1	molecular_function
GO:0016746	3	molecular_function
GO:0016747	1	molecular_function
GO:0016747	4	molecular_function
GO:0016757	3	molecular_function
GO:0016758	1	molecular_function
GO:0016763	3	molecular_function
GO:0016765	3	molecular_function
GO:0016765	2	molecular_function
GO:0016772	3	molecular_function
GO:0016773	1	molecular_function
GO:0016774	1	molecular_function
GO:0016776	2	molecular_function
GO:0016779	6	molecular_function
GO:0016780	3	molecular_function
GO:0016780	1	molecular_function
GO:0016787	8	molecular_function
