tmp_code	GO_terms
tmp_000203	['GO:0006413', 'GO:0005829', 'GO:0003743', 'GO:0043022', 'GO:0032790', 'GO:0016020']
tmp_000204	['GO:0005829', 'GO:0004829', 'GO:0005739', 'GO:0043039', 'GO:0006418', 'GO:0005524', 'GO:0004812', 'GO:0005737', 'GO:0000166', 'GO:0006435']
tmp_000205	['GO:0008986', 'GO:0016301', 'GO:0006090', 'GO:0005524', 'GO:0016772', 'GO:0003824', 'GO:0016310']
tmp_000207	['GO:0051536', 'GO:0003824']
tmp_000208	['GO:0005694', 'GO:0006265', 'GO:0003677', 'GO:0003916', 'GO:0003917']
tmp_000209	['GO:0009288', 'GO:0005198']
tmp_000213	['GO:0006355', 'GO:0045892', 'GO:0003677']
tmp_000214	['GO:0005829', 'GO:0051087', 'GO:0006457', 'GO:0051082', 'GO:0000774', 'GO:0042803']
tmp_000215	['GO:0006457', 'GO:0140662', 'GO:0051082', 'GO:0005524']
tmp_000216	['GO:0019344', 'GO:0005737', 'GO:0006535']
tmp_000217	['GO:0030170', 'GO:0003962', 'GO:0019346', 'GO:0005737', 'GO:0016846']
tmp_000218	['GO:0043768', 'GO:0046872', 'GO:0009372', 'GO:0005506']
tmp_000219	['GO:0016787', 'GO:0016788', 'GO:0030288', 'GO:0000166', 'GO:0046872', 'GO:0009166']
tmp_000220	['GO:0007165', 'GO:0016020']
tmp_000224	['GO:0007165', 'GO:0016020']
tmp_000225	['GO:0030170', 'GO:0005737', 'GO:0006520']
tmp_000227	['GO:0016616', 'GO:0051287']
tmp_000230	['GO:0005975', 'GO:0016020', 'GO:0008107']
tmp_000231	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0005737', 'GO:0032259', 'GO:0008168', 'GO:0009007']
tmp_000232	['GO:0009307', 'GO:0009036', 'GO:0003677']
tmp_000234	['GO:0005829', 'GO:0016740', 'GO:0004314', 'GO:0006633']
tmp_000235	['GO:0008930', 'GO:0005829', 'GO:0008782', 'GO:0003824', 'GO:0019284', 'GO:0009116', 'GO:0019509', 'GO:0009164']
tmp_000243	['GO:0006865', 'GO:0003333', 'GO:0016020', 'GO:0015171']
tmp_000244	['GO:0009073', 'GO:0003849']
tmp_000246	['GO:0016209', 'GO:0045454', 'GO:0034599', 'GO:0016491', 'GO:0005737', 'GO:0008379']
tmp_000248	['GO:0019516', 'GO:0051536']
tmp_000249	['GO:0005829']
tmp_000250	['GO:0015727', 'GO:0015295', 'GO:0015129', 'GO:0005886']
tmp_000251	['GO:0015727', 'GO:0015295', 'GO:0015129', 'GO:0005886']
tmp_000252	['GO:0034039', 'GO:0006281', 'GO:0032357', 'GO:0006284', 'GO:0035485', 'GO:0006298', 'GO:0003677', 'GO:0000701', 'GO:0051539', 'GO:0016798', 'GO:0003824']
tmp_000253	['GO:0005215', 'GO:0005886', 'GO:0016020', 'GO:0055085', 'GO:0022857']
tmp_000254	['GO:0009060', 'GO:0015990', 'GO:0022904', 'GO:0045278', 'GO:0004129', 'GO:0016020', 'GO:0020037']
tmp_000255	['GO:0009055', 'GO:0020037']
tmp_000257	['GO:0009055', 'GO:0020037']
tmp_000262	['GO:0016829', 'GO:0009234']
tmp_000263	['GO:0008094', 'GO:0016887', 'GO:0006281', 'GO:0006259', 'GO:0005829', 'GO:0003677', 'GO:0005524', 'GO:0140664', 'GO:0003697']
tmp_000264	['GO:0000015', 'GO:0004634', 'GO:0000287', 'GO:0006096']
tmp_000267	['GO:0005829', 'GO:0004765']
tmp_000269	['GO:0016757']
tmp_000270	['GO:0005515']
tmp_000271	['GO:0005829']
tmp_000272	['GO:0005829', 'GO:0006783', 'GO:0004655', 'GO:0033014', 'GO:0008270', 'GO:0046872']
tmp_000273	['GO:0005886', 'GO:0007165', 'GO:0000155', 'GO:0016021', 'GO:0016020']
tmp_000274	['GO:0006355', 'GO:0005829', 'GO:0032993', 'GO:0000160', 'GO:0000976', 'GO:0003677', 'GO:0000156']
tmp_000276	['GO:0005515']
tmp_000278	['GO:0016791']
tmp_000279	['GO:0006415', 'GO:0005737', 'GO:0016149', 'GO:0003747']
tmp_000281	['GO:0044780', 'GO:0006605', 'GO:0016020', 'GO:0005886']
tmp_000284	['GO:0003755']
tmp_000285	['GO:0005975', 'GO:0016832', 'GO:0004332', 'GO:0030388', 'GO:0008270', 'GO:0006096']
tmp_000286	['GO:0006414', 'GO:0043043', 'GO:0005737', 'GO:0003746']
tmp_000290	['GO:0070085', 'GO:0016051', 'GO:0047444']
tmp_000291	['GO:0016887', 'GO:0005886', 'GO:0005524', 'GO:0055085', 'GO:0022857']
tmp_000292	['GO:0016410', 'GO:0006807', 'GO:0016020', 'GO:0042158']
tmp_000293	['GO:0009403', 'GO:0016020']
tmp_000294	['GO:0003676', 'GO:0005829', 'GO:0006418', 'GO:0005524', 'GO:0004812', 'GO:0005737', 'GO:0000166', 'GO:0000049', 'GO:0006430', 'GO:0004824']
tmp_000295	['GO:0046653', 'GO:0070905', 'GO:0005829', 'GO:0046655', 'GO:0006565', 'GO:0030170', 'GO:0004372', 'GO:0006730', 'GO:0050897', 'GO:0005737', 'GO:0008270', 'GO:0035999', 'GO:0019264']
tmp_000300	['GO:0005886']
tmp_000301	['GO:0032049', 'GO:0003824']
tmp_000302	['GO:0006099', 'GO:0051537', 'GO:0009060', 'GO:0051536', 'GO:0009055', 'GO:0022904', 'GO:0016491']
tmp_000303	['GO:0005886', 'GO:0009055', 'GO:0009061', 'GO:0016491', 'GO:0050660', 'GO:0000104']
tmp_000304	['GO:0006099', 'GO:0016020']
tmp_000306	['GO:0004318', 'GO:0006633']
tmp_000307	['GO:0009245', 'GO:0016410', 'GO:0016747']
tmp_000308	['GO:0004478', 'GO:0005829', 'GO:0006556', 'GO:0005524']
tmp_000309	['GO:0006228', 'GO:0006183', 'GO:0004550', 'GO:0006241']
tmp_000311	['GO:0003735', 'GO:0006412', 'GO:0015934']
tmp_000312	['GO:0003824', 'GO:0016747', 'GO:0006633']
tmp_000313	['GO:0004315', 'GO:0016746', 'GO:0006633']
tmp_000317	['GO:0140663', 'GO:0051536', 'GO:0016226', 'GO:0051539', 'GO:0005524']
tmp_000318	['GO:0016757']
tmp_000321	['GO:0009408', 'GO:0016887', 'GO:0005829', 'GO:0006457', 'GO:0140662', 'GO:0051082', 'GO:0005524', 'GO:0006974']
tmp_000322	['GO:0005515']
tmp_000323	['GO:0009014', 'GO:0016787', 'GO:0009089']
tmp_000324	['GO:0005829', 'GO:0030488', 'GO:0008033', 'GO:0050660', 'GO:0002098']
tmp_000325	['GO:0055085', 'GO:0022857', 'GO:0016020']
tmp_000326	['GO:0016772', 'GO:0016020']
tmp_000327	['GO:0008299', 'GO:0046872', 'GO:0030145', 'GO:0051484', 'GO:0070402', 'GO:0030604', 'GO:0005515']
tmp_000332	['GO:0031071', 'GO:0030170', 'GO:0044571', 'GO:0006534']
tmp_000333	['GO:0051537', 'GO:0051536', 'GO:0016226', 'GO:0008198', 'GO:0005737', 'GO:0005506', 'GO:0006879']
tmp_000334	['GO:0006355']
tmp_000335	['GO:0000725', 'GO:0016887', 'GO:0006281', 'GO:0005829', 'GO:0003677', 'GO:0140664', 'GO:0005524', 'GO:0003684']
tmp_000336	['GO:0030091', 'GO:0006979', 'GO:0016671', 'GO:0008113', 'GO:0005737', 'GO:0033743']
tmp_000338	['GO:0016020']
tmp_000340	['GO:0016020']
tmp_000343	['GO:0008690', 'GO:0005829']
tmp_000346	['GO:0016874']
tmp_000348	['GO:0005515']
tmp_000349	['GO:0009055', 'GO:0020037']
tmp_000350	['GO:0006783', 'GO:0033014', 'GO:0005737', 'GO:0004418', 'GO:0018160']
